hrv_mean_nni,hrv_median_nni,hrv_range_nni,hrv_sdsd,hrv_rmssd,hrv_pnni_50,hrv_pnni_20,hrv_cvsd,hrv_sdnn,hrv_cvnni,hrv_std_hr,hrv_total_power,hrv_lf,hrv_peaks,hrv_hf,hrv_mean,hrv_std,hrv_max,hrv_ptp,hrv_rms,hrv_iqr,hrv_iqr_5_95,hrv_pct_5,hrv_pct_95,hrv_svd_entropy,acc_x_mean,acc_x_min,acc_x_sum,acc_x_skewness,acc_x_n_sign_changes,acc_x_pct_5,acc_x_pct_95,acc_x_svd_entropy,acc_y_mean,acc_y_min,acc_y_max,acc_y_sum,acc_y_pct_5,acc_y_pct_95,acc_z_n_sign_changes,l2_pct_5,Stress
658.2902893,640.625,1015.625,75.18251559,75.1825868,25.95041322,62.14876033,0.114208865,103.1141114,0.156639272,14.7032619,6611.041457,1751.765998,163,1279.915801,658.2902893,103.0288579,1359.375,1015.625,666.3040226,109.375,328.125,531.25,859.375,0.353302551,826472.6609,-101,1586827509,43.78356451,22,-61,6,1,826483.2302,-92,1586886712,1586847802,-67,31,93,54.40955267,0
658.5638519,640.625,1015.625,74.41159158,74.41175562,25.62396007,61.5640599,0.112990951,102.8480742,0.156170239,14.68552381,6658.939267,1763.242338,160,1307.109407,658.5638519,102.7624744,1359.375,1015.625,666.5331749,109.375,328.125,531.25,859.375,0.353841136,826473.3901,-101,1586828909,43.78356451,26,-61,6,1,826481.8677,-92,1586886712,1586845186,-67,31,91,54.41507144,0
658.4411519,640.625,1015.625,74.32748921,74.32765454,25.87646077,61.93656093,0.112884279,102.6634285,0.155918913,14.67280424,6637.857638,1798.363698,159,1246.663192,658.4411519,102.5776971,1359.375,1015.625,666.383474,109.375,328.125,531.25,859.375,0.352923027,826473.776,-101,1586829650,43.78356451,29,-61,6,1,826480.6302,-92,1586886712,1586842810,-67,31,91,54.45869903,0
658.1156716,640.625,1015.625,74.1786185,74.17878197,26.03648425,62.02321725,0.112713897,102.1019388,0.155142847,14.61375932,6565.763102,1781.432939,160,1221.323802,658.1156716,102.017242,1359.375,1015.625,665.9757915,109.375,328.125,531.25,859.375,0.352534048,826474.1599,-101,1586830387,43.78356451,29,-61,6,1,826479.3766,-92,1586886712,1586840403,-68,31,91,54.30423553,0
658.0578512,640.625,1015.625,74.38247234,74.38263428,25.78512397,61.81818182,0.113033579,101.7193866,0.154575143,14.5718907,6562.875529,1734.207684,161,1306.695955,658.0578512,101.6352863,1359.375,1015.625,665.8602458,109.375,328.125,531.25,859.375,0.353910097,826474.3109,-101,1586830677,43.78356451,29,-61,6,1,826479.0667,-89,1586886712,1586839808,-68,31,95,54.82654463,0
658.0518946,640.625,1015.625,74.30301689,74.30317794,25.70016474,61.77924217,0.112913858,101.209695,0.153801996,14.51242676,6494.786186,1698.161771,162,1301.893182,658.0518946,101.1262919,1359.375,1015.625,665.7768566,109.375,328.125,531.25,859.375,0.352881604,826474.2161,-101,1586830495,43.78356451,29,-61,6,1,826478.3911,-89,1586886712,1586838511,-68,31,95,54.50458605,0
657.3514344,640.625,1015.625,73.89769213,73.89785248,25.90163934,61.63934426,0.112417572,100.2349026,0.152482975,14.41958343,6440.323897,1672.946231,162,1317.520692,657.3514344,100.1527091,1359.375,1015.625,664.9371951,109.375,328.125,531.25,859.375,0.35262632,826474.4745,-101,1586830991,43.78356451,27,-61,6,1,826477.5422,-91,1586886712,1586836881,-69,31,97,54.75308196,0
657.0911501,640.625,1015.625,73.97564884,73.97580745,25.77487765,61.17455139,0.112580739,99.75176848,0.151808114,14.36100005,6375.894426,1663.501724,162,1286.887591,657.0911501,99.67037167,1359.375,1015.625,664.6073747,109.375,328.125,531.25,859.375,0.351031297,826474.7448,-101,1586831510,43.78356451,27,-61,6,1,826476.9839,-91,1586886712,1586835809,-69,31,97,54.75308196,0
656.9613821,640.625,1015.625,73.90888827,73.90904599,25.85365854,61.30081301,0.112501355,99.24421506,0.151065523,14.31289362,6294.294052,1674.536277,164,1215.036155,656.9613821,99.16349588,1359.375,1015.625,664.4032334,109.375,328.125,531.25,859.375,0.350296149,826475.1646,-101,1586832316,43.78356451,27,-61,6,1,826476.3083,-91,1586886712,1586834512,-69,31,97,54.67814789,0
656.9138072,640.625,1015.625,74.3539034,74.35406171,25.98039216,60.78431373,0.113186937,99.33918721,0.151221037,14.33418424,6347.573631,1664.726149,162,1262.266445,656.9138072,99.25799456,1359.375,1015.625,664.370303,109.375,328.125,531.25,859.375,0.352214096,826475.2948,-101,1586832566,43.78356451,27,-61,6,1,826475.3474,-91,1586886712,1586832667,-70,31,97,54.0814195,0
